id,x,y
10000,18,5
2327,18.295,4.12342
1515,18.3588,3.93386
1340,18.4226,3.74431
1323,18.2993,3.58681
1039,18.3408,3.39115
1036,18.213,3.54503
992,18.0135,3.55858
879,18.0153,3.35859
563,18.0172,3.1586
529,18.0191,2.95861
514,17.8612,2.83584
499,17.727,2.68752
319,17.7036,2.4889
316,17.5111,2.54315
310,17.3574,2.41513
287,17.2532,2.24445
266,17.2008,2.05141
235,17.0585,2.19189
230,16.8864,2.08989
215,16.6893,2.05625
210,16.6079,1.87354
209,16.4275,1.78732
205,16.2356,1.84388
155,16.1381,1.6693
146,16.0077,1.82099
144,15.816,1.87793
141,15.653,1.76199
139,15.5356,1.60005
138,15.3356,1.59993
135,15.1407,1.64464
125,15.0497,1.82273
117,14.9087,1.96462
116,14.766,1.8245
114,14.6061,1.70439
113,14.4626,1.56506
110,14.3191,1.42573
107,14.2029,1.58846
105,14.0617,1.73012
100,13.8699,1.67336
93,13.7239,1.81006
92,13.5636,1.69047
89,13.4033,1.57088
86,13.243,1.45129
84,13.1911,1.64446
83,13.0374,1.77234
81,12.8374,1.7687
80,12.6679,1.66259
79,12.4983,1.55648
76,12.3036,1.6021
75,12.1057,1.63118
72,11.9557,1.76343
71,11.7794,1.66902
67,11.5809,1.64424
63,11.4037,1.55158
62,11.2264,1.45892
59,11.0492,1.36626
58,10.872,1.2736
57,10.6947,1.18095
56,10.5809,1.34542
55,10.3847,1.30683
54,10.1926,1.36263
53,9.9933,1.34593
52,9.8014,1.40228
51,9.6183,1.32191
50,9.4352,1.24154
49,9.236,1.26017
47,9.11,1.41545
45,8.91091,1.39612
44,8.72499,1.3224
43,8.5296,1.2797
42,8.34345,1.20657
41,8.14621,1.2397
40,7.96034,1.31353
37,7.76066,1.30221
36,7.57255,1.23428
35,7.38444,1.16635
34,7.19048,1.21512
33,7.00172,1.14902
32,6.81296,1.08293
31,6.6162,1.04704
29,6.4401,1.14184
28,6.25038,1.07853
27,6.05046,1.07317
25,5.86045,1.01073
24,5.67045,0.94829
23,5.47049,0.95253
22,5.28018,0.89106
21,5.08986,0.82958
20,4.89954,0.7681
19,4.70085,0.74527
18,4.501,0.75305
17,4.31022,0.69303
16,4.11584,0.64596
15,3.91989,0.68599
14,3.72496,0.73074
13,3.52999,0.77533
12,3.33628,0.82508
10,3.13945,0.86058
9,2.94679,0.80691
8,2.75412,0.75324
7,2.56146,0.69957
6,2.36459,0.73483
5,2.17164,0.68219
4,1.97521,0.64458
3,1.78221,0.59213
2,1.58921,0.53967
1,1.3903,0.51879
0,1.19721,0.4667
-1,1,0.5
