id,x,y
0,3,6.5
1,3.19871,6.50122
2,3.39733,6.49946
3,3.59575,6.49485
4,3.7939,6.4912
5,3.99178,6.49344
6,4.18955,6.50438
7,4.38735,6.52333
8,4.5853,6.54717
9,4.78338,6.57257
10,4.98155,6.59676
11,5.17978,6.61779
12,5.37808,6.63405
13,5.5764,6.6449
14,5.77467,6.65097
15,5.97278,6.65474
16,6.17074,6.66
17,6.3686,6.67038
18,6.56639,6.68782
19,6.76408,6.71145
20,6.96165,6.73835
21,7.15912,6.76399
22,7.35658,6.78429
23,7.55408,6.79655
24,7.75163,6.80175
25,7.9492,6.80356
26,8.14681,6.80754
27,8.34453,6.81745
28,8.54239,6.83429
29,8.74033,6.85556
30,8.93821,6.87699
31,9.13587,6.89399
32,9.33319,6.90301
33,9.53011,6.90272
34,9.72659,6.89412
35,9.92262,6.88063
36,10.1182,6.86739
37,10.3134,6.85996
38,10.5083,6.86312
39,10.7031,6.87838
40,10.8981,6.90393
41,11.0937,6.93455
42,11.2902,6.96517
43,11.4876,6.99227
44,11.6855,7.01493
45,11.8835,7.03274
46,12.081,7.04499
47,12.2778,7.05021
48,12.4741,7.04805
49,12.6696,7.03912
50,12.8629,7.02441
51,13.0508,7.00259
52,13.2305,6.97143
53,13.4019,6.93106
54,13.5697,6.88864
55,13.7408,6.85578
56,13.9203,6.84229
57,14.1084,6.84966
58,14.3025,6.8723
59,14.4991,6.90248
60,14.6964,6.93494
61,14.8937,6.96716
62,15.0911,6.99784
63,15.2887,7.02598
64,15.4865,7.05088
65,15.6844,7.0724
66,15.8822,7.09049
67,16.08,7.10466
68,16.2772,7.11399
69,16.4738,7.11831
70,16.6697,7.11901
71,16.8651,7.11882
72,17.0604,7.11943
73,17.2559,7.12104
74,17.4517,7.12271
75,17.6478,7.12475
76,17.8441,7.12793
77,18.0408,7.13215
78,18.2373,7.13569
79,18.4333,7.13641
80,18.6288,7.13435
81,18.8242,7.13068
82,19.0197,7.12804
83,19.2156,7.12756
84,19.4121,7.13006
85,19.6092,7.1334
86,19.8067,7.13428
87,20.004,7.12802
88,20.2006,7.11257
89,20.3956,7.0876
90,20.5879,7.05408
91,20.7759,7.01117
92,20.9588,6.95998
93,21.1373,6.90608
94,21.315,6.86172
95,21.4955,6.83842
96,21.6812,6.84112
97,21.8718,6.86475
98,22.0656,6.90003
99,22.2607,6.93851
100,22.4559,6.97571
101,22.6504,7.0087
102,22.8439,7.03593
103,23.0362,7.05713
104,23.228,7.07508
105,23.4201,7.09213
106,23.6129,7.10793
107,23.8063,7.11849
108,23.9994,7.12019
109,24.1915,7.11346
110,24.3821,7.10164
111,24.5716,7.08928
112,24.7602,7.07747
113,24.9482,7.06668
114,25.1356,7.05611
115,25.3226,7.04877
116,25.5095,7.04709
117,25.696,7.05135
118,25.881,7.05431
119,26.0633,7.04579
120,26.243,7.0195
121,26.4216,6.97864
122,26.601,6.93353
123,26.7825,6.89373
124,26.966,6.86317
125,27.1501,6.84045
126,27.3331,6.82158
127,27.514,6.80405
128,27.6928,6.78617
129,27.8704,6.77091
130,28.0478,6.76211
131,28.2258,6.76593
132,28.4037,6.78256
133,28.5796,6.80879
134,28.7512,6.83564
135,28.9183,6.85745
136,29.0841,6.87057
137,29.2529,6.87638
138,29.4277,6.87594
139,29.6082,6.87296
140,29.7916,6.87324
141,29.9752,6.88513
142,30.1566,6.9121
143,30.3332,6.94611
144,30.5025,6.96898
145,30.663,6.96334
146,30.8164,6.92762
147,30.967,6.87769
148,31.1209,6.83761
149,31.2817,6.82357
150,31.4499,6.83853
151,31.6234,6.87486
152,31.7992,6.9195
153,31.9752,6.95753
154,32.1496,6.97526
155,32.3212,6.97018
156,32.4888,6.95318
157,32.6528,6.9434
158,32.8139,6.94919
159,32.9735,6.96223
160,33.1317,6.96329
161,33.2884,6.94474
162,33.4436,6.91741
163,33.5986,6.90438
164,33.7543,6.91813
165,33.9104,6.95304
166,34.0637,6.98948
167,34.2084,7.01245
168,34.339,7.01837
169,34.4526,7.01461
170,34.5506,7.00932
171,34.6388,7.00723
172,34.7264,7.0082
173,34.8235,7.01055
174,34.9365,7.01247
175,35.0649,7.01357
176,35.1994,7.01406
177,35.3255,7.01487
178,35.4295,7.01715
179,35.5083,7.02281
180,35.5705,7.03448
181,35.6343,7.05565
182,35.7158,7.08904
183,35.824,7.13307
184,35.9571,7.17977
185,36.1082,7.21801
186,36.2662,7.24416
187,36.4188,7.26915
188,36.5534,7.315
189,36.6643,7.39928
190,36.756,7.52371
191,36.8416,7.67483
192,36.933,7.83652
193,37.0337,7.9991
194,37.1377,8.16042
195,37.2385,8.31936
196,37.3334,8.47362
197,37.4241,8.62123
198,37.5117,8.76525
199,37.5968,8.91148
200,37.6812,9.06482
201,37.7681,9.22527
202,37.8589,9.39045
203,37.9511,9.55793
204,38.0428,9.72861
205,38.1417,9.90888
206,38.2693,10.1138
207,38.4523,10.3622
208,38.7026,10.6628
209,39,11
