id,x,y
10000,36.5,4.55
4733,35.833,3.97
4727,35.8361,3.77
4714,35.7065,3.6177
4705,35.5769,3.46537
4690,35.5866,3.26561
4678,35.4824,3.0949
4670,35.3532,2.94223
4629,35.237,2.77941
4611,35.1209,2.61659
4566,35.1631,2.42109
4505,35.0567,2.25172
4492,34.8567,2.25152
4484,34.8359,2.05261
4470,34.7781,1.86113
4462,34.6703,1.6927
4454,34.5324,1.5478
4453,34.3952,1.40235
4452,34.2684,1.24767
4422,34.2597,1.04785
4414,34.2573,0.847869999999999
4413,34.1271,0.69608
4406,33.938,0.76142
4405,33.7749,0.87716
4397,33.5751,0.8693
4395,33.4507,0.71272
4383,33.261,0.64922
4364,33.1727,0.61423
4357,33.0463,0.58425
4315,33.0628,0.5652
748,33.0594,0.57145
306,33.0453,0.56132
301,32.848,0.55246
298,32.7269,0.58425
296,32.528,0.55142
293,32.4033,0.56032
287,32.2803,0.5742
286,32.1732,0.56232
271,32.1859,0.53895
270,32.0747,0.54878
265,31.9457,0.56142
264,31.9064,0.57221
262,31.7462,0.5735
260,31.5635,
259,31.4065,0.53094
257,31.2494,0.40706
256,31.0924,0.28317
255,30.9547,0.42819
254,30.7814,0.52797
253,30.6435,0.67282
252,30.4767,0.56242
251,30.3105,0.451239999999999
249,30.1437,0.34082
247,30.0165,0.49512
244,29.8285,0.563499999999999
242,29.649,0.65158
241,29.4751,0.55267
236,29.3013,0.45376
233,29.1275,0.35484
227,28.9405,0.42582
226,28.7649,0.33003
224,28.5893,0.23425
222,28.4719,0.39613
219,28.3019,0.5015
215,28.2039,0.67587
214,28.0227,0.59124
211,27.8415,0.50662
209,27.6603,0.42199
208,27.4791,0.33737
207,27.293,0.41059
204,27.1072,0.48459
203,26.9236,0.40515
200,26.7237,0.39854
198,26.5575,0.50972
196,26.4432,0.345569999999999
191,26.2731,0.45072
190,26.0874,0.37631
188,25.9018,0.3019
187,25.7162,0.22749
184,25.5532,0.34341
183,25.3665,0.271669999999999
181,25.1988,0.38072
179,25.0112,0.3115
178,24.8451,0.42296
177,24.6566,0.3562
176,24.4586,0.38423
173,24.2808,0.47583
172,24.0911,0.41257
171,23.916,0.50933
170,23.75,0.62086
162,23.5688,0.70554
161,23.3916,0.6129
160,23.2,0.555359999999999
158,23.0052,0.60055
157,22.8132,0.54437
156,22.6451,0.65266
155,22.4526,0.59851
154,22.2588,0.64807
152,22.0659,0.595219999999999
150,21.8892,0.68884
145,21.6958,0.63775
141,21.5027,0.68984
130,21.3053,0.721579999999999
129,21.1113,0.67271
128,20.9174,0.62385
127,20.7234,0.57498
125,20.5412,0.65744
124,20.3469,0.61004
123,20.1526,0.56265
122,19.9583,0.51526
121,19.7588,0.5021
120,19.5644,0.4551
119,19.37,0.40809
118,19.1756,0.36109
117,18.9812,0.31408
116,18.7812,0.31316
115,18.6624,0.47405
114,18.4727,0.53741
113,18.2877,0.61343
112,18.0901,0.58262
111,17.8993,0.64273
106,17.7039,0.68548
105,17.5059,0.71342
103,17.3066,0.6964
100,17.1067,0.68933
99,16.9106,0.65028
97,16.7156,0.69484
96,16.5193,0.65658
95,16.3231,0.69543
94,16.1267,0.6579
87,15.937,0.7213
86,15.7404,0.68469
85,15.5405,0.6918
83,15.3411,0.67573
82,15.1454,0.63457
80,14.9553,0.69675
77,14.7553,0.694529999999999
76,14.5584,0.65961
75,14.3615,0.6247
73,14.1751,0.69709
68,13.9753,0.68759
67,13.7782,0.65379
66,13.5798,0.67909
65,13.3826,0.64578
64,13.1853,0.61248
63,12.9854,0.61707
62,12.7881,0.58407
61,12.5909,0.55108
60,12.3936,0.51809
59,12.1964,0.4851
58,11.9991,0.4521
57,11.8018,0.41911
56,11.6046,0.38612
55,11.4073,0.35313
54,11.2101,0.32013
53,11.0189,0.37889
52,10.9574,0.56921
51,10.7576,0.56057
50,10.56,0.52994
49,10.3682,0.58663
48,10.1698,0.61225
47,9.972,0.58267
46,9.7805,0.64021
45,9.5835,0.60546
44,9.3847,0.5838
43,9.185,0.57283
42,8.9871,0.54401
41,8.7876,0.53001
40,8.5896,0.5013
39,8.3999,0.43813
38,8.202,0.40917
37,8.0077,0.36189
36,7.8155,0.41747
35,7.6181,0.38581
34,7.42351,0.4322
33,7.22796,0.47416
32,7.02987,0.44658
31,6.83447,0.48921
30,6.63667,0.45965
29,6.43852,0.43251
28,6.24037,0.40537
27,6.04222,0.378229999999999
26,5.84407,0.35109
25,5.64592,0.32395
24,5.45013,0.36478
23,5.25124,0.34369
22,5.05448,0.37955
21,4.85622,0.35325
20,4.65795,0.32696
19,4.46295,0.28254
18,4.2647,0.25613
17,4.06645,0.22973
16,3.8682,0.20332
15,3.66995,0.17691
14,3.47469,0.2202
13,3.27477,0.21445
12,3.07646,0.18858
11,2.87736,0.2076
10,2.67991,0.17577
9,2.48147,0.15083
8,2.2835,0.12246
7,2.08515,0.09679
6,1.8868,0.07113
5,1.68846,0.04546
4,1.49302,0.002969999999999
3,1.29393,0.02193
2,1.09732,0.05861
1,0.89734,0.05579
0,0.69834,0.07574
-1,0.5,0.05
