id,x,y
209,36.5,4.55
208,36.2026,4.2128
207,35.9523,3.9122
206,35.7693,3.6638
205,35.6417,3.45888
204,35.5428,3.27861
203,35.4511,3.10793
202,35.3589,2.94045
201,35.2681,2.77527
200,35.1812,2.61482
199,35.0968,2.46148
198,35.0117,2.31525
197,34.9241,2.17123
196,34.8334,2.02362
195,34.7385,1.86936
194,34.6377,1.71042
193,34.5337,1.5491
192,34.433,1.38652
191,34.3416,1.22483
190,34.256,1.07371
189,34.1643,0.94928
188,34.0534,0.865
187,33.9188,0.81915
186,33.7662,0.79416
185,33.6082,0.768009999999999
184,33.4571,0.72977
183,33.324,0.68307
182,33.2158,0.63904
181,33.1343,0.60565
180,33.0705,0.58448
179,33.0083,0.57281
178,32.9295,0.56715
177,32.8255,0.56487
176,32.6994,0.56406
175,32.5649,0.563569999999999
174,32.4365,0.56247
173,32.3235,0.56055
172,32.2264,0.5582
171,32.1388,0.55723
170,32.0506,0.55932
169,31.9526,0.56461
168,31.839,0.56837
167,31.7084,0.56245
166,31.5637,0.53948
165,31.4104,0.50304
164,31.2543,0.46813
163,31.0986,0.45438
162,30.9436,0.46741
161,30.7884,0.49474
160,30.6317,0.51329
159,30.4735,0.51223
158,30.3139,0.49919
157,30.1528,0.4934
156,29.9888,0.50318
155,29.8212,0.52018
154,29.6496,0.52526
153,29.4752,0.50753
152,29.2992,0.4695
151,29.1234,0.42486
150,28.9499,0.38853
149,28.7817,0.37357
148,28.6209,0.38761
147,28.467,0.42769
146,28.3164,0.47762
145,28.163,0.51334
144,28.0025,0.51898
143,27.8332,0.49611
142,27.6566,0.4621
141,27.4752,0.43513
140,27.2916,0.42324
139,27.1082,0.42296
138,26.9277,0.42594
137,26.7529,0.42638
136,26.5841,0.42057
135,26.4183,0.40745
134,26.2512,0.38564
133,26.0796,0.35879
132,25.9037,0.33256
131,25.7258,0.31593
130,25.5478,0.31211
129,25.3704,0.32091
128,25.1928,0.33617
127,25.014,0.35405
126,24.8331,0.37158
125,24.6501,0.39045
124,24.466,0.41317
123,24.2825,0.44373
122,24.101,0.48353
121,23.9216,0.52864
120,23.743,0.5695
119,23.5633,0.59579
118,23.381,0.60431
117,23.196,0.60135
116,23.0095,0.59709
115,22.8226,0.59877
114,22.6356,0.60611
113,22.4482,0.61668
112,22.2602,0.62747
111,22.0716,0.639279999999999
110,21.8821,0.65164
109,21.6915,0.66346
108,21.4994,0.67019
107,21.3063,0.66849
106,21.1129,0.657929999999999
105,20.9201,0.64213
104,20.728,0.62508
103,20.5362,0.60713
102,20.3439,0.585929999999999
101,20.1504,0.5587
100,19.9559,0.52571
99,19.7607,0.48851
98,19.5656,0.45003
97,19.3718,0.41475
96,19.1812,0.39112
95,18.9955,0.38842
94,18.815,0.41172
93,18.6373,0.45608
92,18.4588,0.50998
91,18.2759,0.56117
90,18.0879,0.60408
89,17.8956,0.6376
88,17.7006,0.66257
87,17.504,0.67802
86,17.3067,0.68428
85,17.1092,0.6834
84,16.9121,0.68006
83,16.7156,0.67756
82,16.5197,0.67804
81,16.3242,0.68068
80,16.1288,0.68435
79,15.9333,0.68641
78,15.7373,0.68569
77,15.5408,0.68215
76,15.3441,0.67793
75,15.1478,0.67475
74,14.9517,0.67271
73,14.7559,0.67104
72,14.5604,0.66943
71,14.3651,0.66882
70,14.1697,0.66901
69,13.9738,0.66831
68,13.7772,0.66399
67,13.58,0.65466
66,13.3822,0.64049
65,13.1844,0.6224
64,12.9865,0.60088
63,12.7887,0.57598
62,12.5911,0.54784
61,12.3937,0.51716
60,12.1964,0.48494
59,11.9991,0.45248
58,11.8025,0.4223
57,11.6084,0.39966
56,11.4203,0.39229
55,11.2408,0.40578
54,11.0697,0.43864
53,10.9019,0.48106
52,10.7305,0.52143
51,10.5508,0.55259
50,10.3629,0.574409999999999
49,10.1696,0.589119999999999
48,9.9741,0.59805
47,9.7778,0.60021
46,9.581,0.59499
45,9.3835,0.58274
44,9.1855,0.56493
43,8.9876,0.54227
42,8.7902,0.51517
41,8.5937,0.48455
40,8.3981,0.45393
39,8.2031,0.42838
38,8.0083,0.41312
37,7.8134,0.40996
36,7.6182,0.41739
35,7.42262,0.43063
34,7.22659,0.44412
33,7.03011,0.45272
32,6.83319,0.45301
31,6.63587,0.44399
30,6.43821,0.42699
29,6.24033,0.40556
28,6.04239,0.38429
27,5.84453,0.36745
26,5.64681,0.35754
25,5.4492,0.35356
24,5.25163,0.35175
23,5.05408,0.34655
22,4.85658,0.33429
21,4.65912,0.31399
20,4.46165,0.28835
19,4.26408,0.26145
18,4.06639,0.23782
17,3.8686,0.22038
16,3.67074,0.21
15,3.47278,0.20474
14,3.27467,0.20097
13,3.0764,0.1949
12,2.87808,0.18405
11,2.67978,0.16779
10,2.48155,0.14676
9,2.28338,0.12257
8,2.0853,0.09717
7,1.88735,0.07333
6,1.68955,0.05438
5,1.49178,0.04344
4,1.2939,0.0412
3,1.09575,0.04485
2,0.89733,0.04946
1,0.69871,0.05122
0,0.5,0.05
